,fAsym,fDist,fM3Trans,fM3Long,fAlpha,fLength,fWidth,class
431,6.9242,162.335,-18.7103,27.5978,7.341,37.4443,24.6122,1
11145,4.8915,221.213,-11.4819,-31.9813,2.2496,32.7548,20.0059,1
934,51.3151,231.201,1.9651,20.0999,7.817,42.9224,7.9326,1
14378,1.5216,229.6978,-13.3062,15.0374,68.1042,36.5332,8.5835,0
10194,12.5934,231.183,7.3892,12.505,12.0487,17.9289,12.8843,1
14956,-37.5337,120.635,17.3136,-26.86,4.1303,51.2755,26.1717,0
8078,-11.4491,188.061,-5.561,-19.2358,12.9151,19.6808,11.6456,1
8512,-36.1162,250.302,15.3542,-36.8489,2.5365,85.8375,28.1022,1
6696,48.6897,286.413,21.6554,81.4294,3.9201,88.7937,28.8355,1
4704,0.4564,147.006,9.4223,10.9501,48.415,21.5804,8.8966,1
7569,12.9662,162.993,9.9375,-17.434,3.9884,24.2267,17.1977,1
4731,26.5243,236.485,-11.9191,50.2173,1.4085,62.6301,19.3823,1
13235,88.747,227.6959,-49.3432,77.7531,46.1283,108.5592,49.9508,0
14546,144.584,111.418,-22.5529,172.517,58.138,160.688,42.2971,0
7696,17.7962,127.212,5.4037,-12.1441,21.3825,27.5557,6.6472,1
6476,11.5443,93.6596,-14.611,29.4609,23.1046,30.8618,18.3281,1
9017,-36.7412,105.747,-14.8934,-19.3401,19.681,32.6603,21.8534,1
7851,35.149,64.9293,-8.573,-16.0461,30.914,33.6473,16.4682,1
7544,37.2217,166.39,-6.4622,77.285,1.046,70.8359,12.4758,1
1354,56.1404,252.49,-12.1136,52.1499,5.836,59.4407,26.0793,1
13251,-50.9245,202.183,-64.005,-194.392,89.8286,161.127,69.6719,0
7048,-19.5619,240.301,-11.41,-19.1059,62.8383,20.3931,10.5634,1
13202,225.467,40.4893,-10.8622,-134.891,62.429,197.071,21.6431,0
2435,-45.6547,286.781,-27.0286,44.1952,6.976,65.1705,36.5131,1
7161,-31.5934,299.15,-14.1409,51.4857,3.221,89.1783,30.8669,1
3759,1.9766,136.8,9.2871,-9.897,21.501,31.4487,12.5907,1
18074,131.946,193.9131,-30.8957,60.373,17.2241,125.0746,54.1217,0
3071,28.2385,196.743,-9.4038,37.5596,11.243,39.8046,12.7282,1
5579,23.3746,181.872,-13.1056,31.9105,0.5754,50.7112,24.4091,1
7820,-105.995,279.831,12.6649,48.867,4.141,76.7605,21.3045,1
8565,19.8745,155.034,-6.2487,16.07,18.981,21.2203,6.5774,1
78,-24.0564,306.55,26.1668,60.9768,2.643,86.5636,36.8235,1
15817,-277.308,197.303,86.856,-244.8445,56.911,245.8117,75.5443,0
5983,-13.2888,215.809,-13.201,10.4682,31.7177,24.8354,15.3356,1
4587,-15.2872,154.638,-10.5084,8.0028,26.705,12.803,11.5191,1
2422,-34.6078,184.874,10.3506,-25.0755,14.908,29.7378,12.0744,1
9887,-23.238,148.004,-6.26,-12.0343,76.7401,21.1959,6.9776,1
13951,-110.9764,103.4329,5.8247,-87.252,19.6468,158.9083,20.8549,0
9489,24.5744,262.858,13.8672,41.1885,5.411,72.555,20.949,1
2941,13.2364,15.5029,17.5643,18.8844,72.4438,34.6295,27.772,1
13035,-80.9799,253.998,41.6052,82.8492,12.037,112.429,51.2607,0
17366,68.0089,121.3655,-51.5118,179.7483,48.6437,161.2946,58.6567,0
1504,-14.853,77.6975,8.6555,8.1961,43.7132,12.8721,11.3311,1
4727,-38.5453,289.341,9.1272,-36.8342,3.0122,75.4189,21.0294,1
4116,-38.9167,291.047,-10.4765,52.4539,0.3079,60.9779,26.6307,1
2862,47.3036,184.981,-17.4235,47.0202,4.502,50.7761,18.7514,1
15496,-41.6021,223.3597,-6.6254,0.3523,66.513,55.1008,12.5396,0
6368,12.3438,176.581,5.4841,8.3462,25.6299,23.5514,9.0361,1
1763,-146.54,186.465,-11.0333,56.2846,9.5101,92.7412,23.9243,1
17958,-270.2782,92.7104,-120.9143,-48.3586,84.9955,221.7887,190.5432,0
2718,0.3448,182.464,10.0564,9.7913,4.207,28.8702,19.1184,1
15518,-3.5126,139.09,17.6045,-12.488,87.7584,21.2214,21.1054,0
8049,33.4041,170.835,-10.0662,6.7109,0.1159,22.5607,19.4423,1
3348,43.03,224.172,11.479,67.8894,10.6894,65.6077,21.9075,1
3510,5.489,173.19,13.3581,58.0511,8.6684,61.4065,23.6761,1
14009,-210.535,291.03,68.9837,-197.551,63.8379,220.773,73.6335,0
8403,-20.7312,143.81,6.336,-9.3222,8.344,34.2309,13.5888,1
15455,-70.5047,215.0913,22.9366,58.4431,44.6544,92.8599,23.6894,0
2675,36.5936,252.754,-23.9781,78.2302,3.347,79.9423,28.976,1
8171,-45.6908,284.663,-16.8017,-28.1249,2.0323,40.2789,23.3107,1
1843,21.9776,50.7272,5.4097,11.5671,17.6368,18.7375,9.9878,1
2383,57.7763,145.457,12.3603,-22.0191,7.5737,53.9569,19.9037,1
6219,-18.8597,171.952,6.2189,-16.9767,45.607,21.1472,6.4262,1
12553,-239.5869,300.5053,-42.6447,142.6303,65.069,184.2529,54.3154,0
14340,-24.5038,235.675,10.2908,-19.0057,81.9855,30.6929,13.4036,0
8099,21.8712,116.492,-11.6833,17.1648,22.961,36.8728,33.0103,1
12377,-130.956,331.158,-19.8345,65.9027,27.4646,107.104,24.6377,0
16701,-0.8207,108.845,2.6423,17.2121,67.893,52.6492,11.3782,0
1244,-3.1856,96.431,-10.5833,11.4313,62.678,19.8632,12.3814,1
10751,9.9636,119.842,-16.9716,29.1583,17.547,35.852,22.9063,1
18023,-65.575,161.3425,-9.7183,37.6103,80.8282,49.1439,18.1723,0
10574,16.1769,149.717,5.592,-19.5041,46.617,24.2223,18.9822,1
5980,0.2625,95.1519,5.7095,-4.7217,34.5528,20.4023,7.2924,1
16095,62.7273,369.0021,23.318,43.521,29.7244,119.5829,25.3453,0
11867,28.7629,174.755,4.869,34.577,4.732,35.4895,16.2518,1
1727,-61.5474,264.155,14.9676,41.0704,7.6353,50.4557,23.2869,1
15842,63.4857,245.0247,51.3988,-39.8619,13.4448,80.0027,48.2562,0
17608,-43.1927,130.752,-5.3328,13.5598,42.666,34.7228,13.3626,0
5515,40.7421,171.772,-8.0773,18.9149,3.237,47.7753,25.5877,1
9314,68.9945,200.338,6.3705,-11.6242,4.5618,55.2926,13.3843,1
11990,22.6355,188.914,-7.5563,26.7229,0.7701,35.0228,19.4652,1
4090,14.503,144.383,4.0103,-15.861,8.5051,40.5701,19.4878,1
17726,-39.344,312.913,13.658,40.9504,2.5978,100.4486,15.7331,0
6925,-11.624,146.545,-9.0936,-9.8592,3.964,28.2001,11.0639,1
3095,-27.3974,334.757,-13.1405,-20.9364,6.076,28.2718,10.9174,1
10367,-133.406,308.787,-30.99,73.6705,0.324,110.365,43.2592,1
633,-0.2935,211.217,11.3887,15.5327,8.988,31.2984,18.5756,1
17473,10.9892,229.4494,7.9101,7.4472,20.9227,24.4351,7.6651,0
16233,18.5694,145.0072,-18.3741,28.2478,54.9128,29.7011,16.3399,0
12296,-14.0422,135.683,-5.8389,7.0255,87.2895,12.9504,11.0251,1
12041,13.1788,279.904,10.5332,5.5659,2.463,13.1518,10.457,1
18000,-1.4959,139.375,-8.6911,23.0443,24.4896,28.059,11.3657,0
11725,-8.7429,326.791,34.6301,71.4297,2.605,79.9145,35.7305,1
16326,40.7821,268.169,16.028,41.1823,5.248,44.2348,14.3562,0
12132,49.2987,157.303,22.9384,-20.9696,1.8127,40.6311,28.5333,1
15431,15.8051,330.8791,19.3791,13.9885,66.7342,39.3361,17.7954,0
2544,17.0121,194.149,-8.7592,37.1243,9.1922,35.8412,16.5052,1
16594,125.887,82.7249,-14.5003,-73.7973,52.436,94.798,22.3755,0
3081,-99.0799,263.512,11.0489,43.8029,10.9695,52.622,14.9202,1
4219,5.1772,220.476,10.3267,-12.0916,4.7392,19.1372,12.2128,1
16243,-29.0865,16.4205,28.1627,-84.0153,41.6742,83.6193,39.1214,0
18854,7.8794,202.753,-6.2839,20.6501,37.0993,23.3525,11.1607,0
11109,97.1079,293.621,21.439,85.7857,0.0591,109.359,43.761,1
9854,3.4461,185.153,1.5275,-14.5524,3.262,30.7413,13.9602,1
4363,68.5118,157.747,-13.5951,-44.8613,0.955,60.0412,20.1433,1
16175,33.6162,311.5083,44.8604,89.6943,52.5424,91.438,54.2114,0
12044,-7.6673,237.548,-6.9773,-18.0561,23.33,25.806,10.0689,1
15737,1.0758,212.0347,-10.9537,-11.2358,19.3026,35.3852,10.7404,0
11206,-8.2743,122.215,4.0825,15.8082,63.7141,18.1825,10.6833,1
11334,27.2532,109.631,-17.8155,31.829,33.757,41.8946,30.85,1
4007,-23.8823,202.789,-0.0001,-17.1539,7.361,23.7185,0.0,1
5153,2.4378,163.473,4.6422,-8.7992,38.5188,19.5229,7.3881,1
16646,-235.069,252.983,50.7395,-216.584,13.615,239.647,64.2808,0
4909,-14.9634,88.5835,2.9346,5.301,6.088,23.8212,9.2534,1
17271,-0.9184,294.125,11.1616,-60.4121,45.9286,144.2787,21.6688,0
7554,-28.9176,229.35,6.5964,-17.866,26.8446,30.288,12.8258,1
13255,1.8354,65.139,-54.7592,-18.7832,31.9154,69.6056,46.7113,0
891,19.8807,167.898,-3.9199,14.3973,25.804,19.3993,9.2873,1
14974,-98.4362,257.0716,10.019,34.8255,7.2035,54.9625,17.7415,0
17400,-45.6985,207.601,-10.0775,-35.0592,54.952,41.8772,19.0863,0
6340,70.9399,237.938,18.2649,71.2976,5.054,76.244,22.5596,1
17203,-53.4067,249.1974,-10.796,-42.9702,26.7642,49.6425,9.84,0
17645,1.9848,221.504,-4.1854,-6.7611,61.153,16.6775,11.4413,0
5558,22.4127,167.928,4.1503,10.4913,63.186,18.1377,10.5243,1
17421,-1.0364,193.862,9.1531,10.7335,39.6144,17.4193,8.0879,0
14507,0.6435,115.739,4.5768,-20.3149,52.753,23.1189,13.9953,0
18204,-137.2501,349.5226,86.9066,-95.8462,58.7259,155.252,115.853,0
1887,-16.5516,168.896,-6.8576,-9.7549,7.9853,20.7297,12.8606,1
11606,-44.233,287.99,8.8729,73.376,6.5938,86.9693,22.3447,1
4858,-59.3005,300.951,20.5541,49.6026,14.1486,71.3117,39.923,1
865,26.0592,251.602,17.9882,21.9905,5.18,33.3506,20.8092,1
10864,52.4757,261.352,-9.0161,57.9373,4.5284,74.7241,25.517,1
10199,-46.6829,283.481,-6.1147,41.2934,1.388,60.0089,14.465,1
13350,60.9532,242.2668,-16.1833,59.0673,2.6888,60.8079,18.2385,0
8089,5.063,164.392,-7.3988,-17.3599,6.6566,21.4986,10.6731,1
9440,37.7466,196.879,-7.7421,35.6382,3.595,46.0246,15.4662,1
18038,-121.726,423.1071,81.6095,-82.7081,89.737,111.1925,81.4599,0
11080,15.0278,224.76,9.3324,-10.6992,5.2825,32.705,8.2409,1
141,10.6071,147.489,3.9151,21.1038,41.563,25.2091,10.6551,1
494,11.606,69.6275,10.4483,22.1001,1.0148,27.0944,21.3476,1
13043,-144.2809,296.5465,-142.5894,-188.5031,69.9989,230.5499,145.5639,0
5606,-29.3111,193.696,14.475,18.9164,13.1409,37.4523,18.9754,1
17558,27.5819,219.022,18.614,48.1584,16.8359,58.9828,34.7276,0
2724,56.4425,214.813,4.3248,62.0719,0.542,62.9321,15.2389,1
879,3.4023,98.5724,7.8709,-7.5158,31.951,17.0991,10.6199,1
5557,14.8849,230.569,-11.8987,2.5413,43.485,13.3605,10.5168,1
17300,-30.7316,101.636,18.0861,14.8639,77.979,46.6814,19.0874,0
5960,-30.1695,310.321,21.6329,69.6331,4.985,105.305,22.0399,1
3559,-2.9509,163.859,12.0075,-14.1617,17.627,17.4375,14.6998,1
14993,-19.003,117.3777,17.2027,-46.3192,80.7469,94.5982,21.9615,0
11170,0.7113,108.484,11.517,6.3464,37.454,19.3858,11.2812,1
15237,-154.488,131.18,-23.1088,-120.529,87.2944,152.629,35.7624,0
18720,14.5994,222.33,-11.734,-2.4594,52.378,13.19,10.8355,0
13900,36.8711,353.398,40.8382,70.7168,78.833,95.3944,70.4099,0
18376,26.2692,163.8698,-12.853,26.9326,9.7727,24.845,19.3632,0
3924,-4.3365,101.901,9.9467,16.2155,35.187,21.4086,9.9958,1
8056,3.1483,214.814,-10.1548,-12.526,27.644,19.5014,12.4493,1
17951,9.3648,148.1034,-5.464,-5.1949,78.3263,21.7058,8.999,0
8053,0.2602,179.37,-10.0102,-10.1415,4.209,21.0856,12.1771,1
4232,32.1667,198.012,-3.7756,20.3889,18.9558,31.9906,7.412,1
6359,-61.5812,118.829,-25.3874,31.0424,4.774,40.0184,28.3689,1
1995,23.5287,150.413,-6.3803,-29.2176,6.402,58.8813,27.5643,1
5219,37.4322,204.454,5.9459,-8.5855,7.356,29.5348,9.0383,1
17405,-37.8917,325.287,-26.0874,-69.0517,10.009,134.83,31.8561,0
10885,4.2803,169.363,8.2747,-16.4114,63.687,19.07,15.388,1
917,-25.8167,196.181,20.3149,-16.0514,38.817,33.1485,26.1488,1
12763,70.8556,151.096,24.6965,142.081,17.189,124.473,51.5603,0
6591,-5.6003,176.498,6.3857,16.286,19.486,19.9624,10.4757,1
12758,-111.192,391.029,-47.3886,-138.151,49.2403,157.684,74.3316,0
437,1.9518,132.719,11.7761,-23.523,0.226,35.7536,18.467,1
2040,59.4518,167.616,11.3232,114.134,11.7482,106.671,17.5314,1
10148,1.221,119.655,-10.4807,22.8899,16.234,43.2473,21.4227,1
11230,13.058,117.827,10.5218,14.1112,21.6007,17.4981,16.4146,1
18622,12.8764,114.5129,5.2249,17.0575,26.7796,13.0416,8.5656,0
8297,26.306,175.6,-18.8982,22.6908,12.5002,32.9693,23.4377,1
13429,26.8911,46.295,0.7234,19.1145,48.7728,34.8579,11.1368,0
454,-117.267,277.313,23.0827,89.9887,17.724,112.635,31.147,1
11909,8.0684,309.548,-85.69,80.3161,28.311,108.424,94.327,1
18471,14.4336,140.9653,-40.4289,38.8298,28.7818,76.7265,46.1018,0
18225,16.5484,95.5379,10.8387,35.0212,25.286,39.2543,15.653,0
13163,11.8635,207.105,-5.0869,27.6383,8.051,34.6337,7.1569,0
10599,15.4734,121.872,10.9133,-7.7999,63.531,12.7261,11.6556,1
10276,54.2967,184.4,14.5762,-23.6248,6.616,48.3689,21.4332,1
11020,-1.3908,147.232,-6.6365,11.6213,10.3482,19.7624,16.0047,1
8225,49.7586,207.657,8.6793,63.0651,4.13,64.0316,14.5597,1
14404,73.2587,165.1348,5.9555,34.1685,29.0584,72.1747,9.7887,0
13445,-75.401,254.936,16.0042,23.5633,11.2415,60.8599,35.3517,0
15554,-200.3862,305.885,-78.0725,-187.2004,36.9646,248.9492,148.5661,0
2885,-85.115,314.254,-21.8818,73.6068,4.6221,88.5788,32.7777,1
3963,12.0269,224.705,-5.6699,17.9473,18.23,28.3287,10.0515,1
6690,112.725,199.092,12.5443,112.466,2.935,125.281,26.6265,1
1199,3.3051,161.4,-5.4977,21.604,3.026,39.6308,16.3212,1
14685,2.3464,250.175,-11.2162,32.1268,43.759,52.2332,16.7104,0
17765,-10.2006,67.1719,-2.4207,-12.0474,12.69,28.5608,6.7988,0
6957,-17.0061,227.21,23.9805,-17.4538,2.7181,67.1109,32.6517,1
5803,-18.2896,161.199,-7.8675,28.156,10.6379,41.1112,17.9452,1
9666,111.726,321.6,7.3521,88.2692,0.046,102.412,29.2227,1
8829,29.4408,159.995,4.8972,-16.1978,0.8987,36.0145,12.4148,1
6512,-29.5247,180.475,0.0001,-7.5987,0.0003,24.6512,0.0,1
16276,-5.8029,61.2014,-9.1577,1.5449,42.0848,9.6824,8.6952,0
5031,-14.8353,117.675,-14.557,2.55,23.314,26.3338,20.7068,1
17498,11.1856,187.799,7.797,12.237,17.5786,21.0457,12.8915,0
12527,-262.013,131.3,-134.395,-134.645,1.944,229.285,112.515,0
2059,-48.1244,209.439,-13.1465,-104.224,7.4382,89.5962,21.532,1
441,22.2469,107.513,-7.8032,11.1188,14.19,20.9402,15.2975,1
11816,-16.2017,110.192,6.9058,-18.427,19.774,23.6246,10.9195,1
17824,33.8596,41.2222,-11.448,-20.3249,78.7981,25.7704,16.3101,0
18127,13.6513,231.041,8.3562,13.3931,69.7558,22.6904,12.8613,0
2008,6.2512,135.597,7.2573,17.6182,3.397,28.4409,20.246,1
8079,-21.5337,187.506,-10.7244,-19.4076,5.904,21.7041,10.8242,1
7411,-44.1921,317.619,14.841,43.8905,1.7962,84.6226,22.9811,1
275,29.9765,169.123,8.9177,-24.5987,8.364,40.749,26.1492,1
6160,-34.9144,294.903,-14.7445,75.7354,1.027,91.3478,25.1876,1
14543,-26.9274,314.095,-25.0755,-24.5285,22.574,55.3951,22.511,0
7814,-0.6405,79.4087,7.9662,21.0054,17.2382,23.602,17.0341,1
15712,-4.7695,134.895,4.2779,20.2562,37.396,30.2099,9.4568,0
2900,16.0802,261.014,-13.8313,39.5951,0.393,38.4181,17.1406,1
2140,-39.9444,299.69,26.3802,57.9611,4.088,71.8916,32.0685,1
1251,-8.5617,172.589,-13.5961,28.9502,5.4954,49.8051,14.0499,1
15631,5.8368,258.0376,26.4307,10.0492,52.5425,31.7305,28.514,0
6462,46.5941,256.507,-22.2008,82.067,0.137,85.3224,24.5625,1
9377,-32.1377,149.742,-13.76,-9.3855,5.2291,31.8987,23.787,1
6915,-54.8358,212.352,7.7741,7.2205,4.111,52.0776,17.9786,1
9502,26.1708,176.435,9.2702,41.0892,3.259,52.9275,18.7925,1
17388,48.3665,178.372,-19.3455,-48.2333,85.4055,76.0232,29.7304,0
4018,-28.2479,206.09,8.5129,-33.2105,1.596,40.0484,18.1552,1
7359,-3.7176,177.053,-20.1706,-17.834,77.2884,23.6195,21.7005,1
9100,-16.6958,244.438,-5.3455,12.278,15.2359,30.7178,11.253,1
13187,79.9708,241.3654,24.1594,58.5895,85.6268,159.9055,75.9563,0
1219,-1.1209,253.664,-3.4111,8.5014,14.451,20.1522,14.6778,1
8543,-24.0167,194.701,6.728,-11.5369,20.202,22.2019,6.5999,1
18467,-19.2082,145.4616,-7.4305,5.6947,14.9896,25.9462,5.9566,0
3837,-15.6641,51.1647,-9.2123,-8.5062,56.616,21.0167,12.7312,1
17553,-14.4527,203.091,-11.6604,0.7039,48.284,13.2031,10.7816,0
11243,38.5189,175.781,8.6794,39.5442,0.762,45.6732,13.7702,1
366,43.8255,147.6,-18.7429,22.922,1.6058,40.0436,29.8364,1
4333,25.5389,196.1,8.6243,11.0213,29.1506,21.3368,15.52,1
4544,-1.1618,235.71,-5.8494,5.6097,39.434,16.8357,11.3438,1
6570,-70.211,185.911,10.1916,-26.3346,0.5765,57.6632,18.5917,1
9158,-64.0055,266.12,18.6478,20.0881,1.806,59.1733,30.5268,1
4697,-1.4309,254.872,19.8753,55.6943,0.386,77.228,30.2298,1
5655,44.0743,146.189,-9.7994,53.679,5.7324,61.2341,12.9794,1
11982,47.1848,316.733,35.1025,87.402,2.2699,93.9743,33.4934,1
2781,55.6813,273.566,11.6622,9.1125,7.357,42.9062,16.1197,1
6463,-41.7522,218.971,-12.4085,53.5763,8.031,65.8244,18.8813,1
2936,-3.7101,207.846,-10.2628,5.2732,8.3993,34.3489,18.4068,1
