,month_dec,month_mar,loan_no,month_may,contact_cellular,campaign,housing_yes,Class
898,False,False,True,True,False,2,True,0
41191,False,False,True,False,True,1,False,0
29032,False,False,True,False,True,1,True,0
31381,False,True,True,False,True,1,False,0
37559,False,False,True,True,True,2,False,0
28733,False,False,True,False,True,4,True,0
8767,False,False,True,False,False,4,True,0
5174,False,False,True,True,False,3,True,1
14158,False,False,True,False,True,2,True,0
19376,False,False,True,False,True,4,False,0
3336,False,False,True,True,False,2,True,0
5832,False,False,True,True,False,1,True,0
32085,False,False,True,False,True,2,True,0
28305,False,False,True,False,True,1,True,0
2349,False,False,True,True,False,2,True,0
16816,False,False,True,False,True,4,True,0
44416,False,False,True,False,True,1,False,1
41961,False,False,True,False,True,4,False,1
28211,False,False,True,False,True,1,False,0
15638,False,False,True,False,True,1,True,0
3556,False,False,True,True,False,8,True,0
38536,False,False,True,True,True,3,True,0
40778,False,False,True,False,True,1,False,0
33568,False,False,True,False,True,3,True,0
40727,False,False,True,False,True,1,False,0
17347,False,False,True,False,True,8,True,0
28315,False,False,True,False,True,1,False,0
20397,False,False,True,False,True,1,False,0
24807,False,False,False,False,True,1,True,0
221,False,False,True,True,False,1,True,0
5955,False,False,True,True,False,2,True,0
12543,False,False,False,False,False,10,False,0
40119,False,False,True,False,True,2,False,1
38456,False,False,True,True,True,1,False,0
2050,False,False,True,True,False,2,True,0
20803,False,False,True,False,True,2,False,0
20708,False,False,True,False,True,2,False,0
34992,False,False,True,True,True,1,True,0
33630,False,False,True,False,True,2,True,0
39514,False,False,True,True,True,3,True,0
45128,False,False,True,False,True,1,False,0
11052,False,False,True,False,False,3,False,0
43275,False,True,True,False,True,1,False,0
40505,False,False,True,False,True,1,True,0
7464,False,False,True,True,False,3,True,1
17539,False,False,True,False,True,2,False,0
24166,False,False,True,False,False,1,False,0
20429,False,False,True,False,True,2,False,0
39486,False,False,False,True,True,1,True,0
15918,False,False,True,False,True,7,True,0
7761,False,False,True,True,False,9,True,0
36335,False,False,False,True,True,1,True,0
10342,False,False,True,False,False,1,False,0
26717,False,False,True,False,True,2,False,0
9916,False,False,True,False,False,1,False,0
22441,False,False,True,False,True,2,False,0
35066,False,False,True,True,True,3,True,0
2592,False,False,True,True,False,1,True,0
28127,False,False,True,False,True,1,False,0
18266,False,False,True,False,True,4,False,0
17656,False,False,True,False,True,3,False,0
14513,False,False,True,False,True,3,True,0
13735,False,False,True,False,True,1,True,0
10375,False,False,True,False,False,1,False,0
43172,False,True,True,False,False,1,False,0
7114,False,False,True,True,False,1,True,0
29930,False,False,True,False,False,1,False,0
21926,False,False,True,False,True,2,False,0
2943,False,False,True,True,False,1,False,0
33536,False,False,True,False,True,2,True,1
10277,False,False,True,False,False,8,True,0
27946,False,False,True,False,True,1,False,0
29815,False,False,True,False,True,1,True,0
44607,False,False,True,False,False,1,True,0
37870,False,False,True,True,True,1,True,1
17884,False,False,True,False,False,2,True,0
18255,False,False,True,False,True,11,True,0
9709,False,False,True,False,False,1,True,0
43585,False,False,True,False,True,2,False,1
13016,False,False,False,False,True,1,False,0
14726,False,False,True,False,True,5,False,1
19988,False,False,True,False,True,4,False,0
5788,False,False,True,True,False,1,True,0
4365,False,False,True,True,False,2,True,0
30210,False,False,True,False,True,1,True,0
24911,False,False,True,False,True,1,True,0
3540,False,False,True,True,False,8,True,0
19292,False,False,True,False,True,2,False,0
14657,False,False,True,False,False,2,True,0
30372,False,False,True,False,True,1,True,0
4934,False,False,False,True,False,1,True,0
25237,False,False,True,False,True,2,True,0
28795,False,False,True,False,True,2,True,0
37291,False,False,True,True,True,3,True,0
671,False,False,True,True,False,2,True,0
12358,False,False,False,False,False,3,False,0
37350,False,False,True,True,True,4,True,0
33626,False,False,True,False,True,4,True,0
34769,False,False,True,True,True,2,True,0
35803,False,False,False,True,True,1,True,0
26152,False,False,True,False,True,2,True,0
18332,False,False,False,False,True,2,False,0
15702,False,False,True,False,True,1,True,0
41184,False,False,True,False,True,1,False,1
19319,False,False,True,False,True,4,True,0
35872,False,False,True,True,True,1,True,0
40245,False,False,True,False,True,2,False,1
41051,False,False,True,False,True,1,False,0
25556,False,False,True,False,True,1,False,0
22014,False,False,True,False,True,3,True,0
34965,False,False,True,True,True,2,True,1
20329,False,False,False,False,True,7,True,0
26158,False,False,True,False,True,2,True,0
37310,False,False,True,True,True,1,True,0
4043,False,False,True,True,False,3,True,0
28897,False,False,True,False,True,4,True,0
30310,False,False,True,False,True,1,False,0
41372,False,False,True,False,True,2,False,0
29082,False,False,True,False,True,1,False,0
44825,False,False,True,False,True,2,False,0
7657,False,False,True,True,False,2,True,0
9075,False,False,True,False,False,1,True,0
32851,False,False,True,False,True,1,True,0
19271,False,False,True,False,True,2,False,0
32483,False,False,False,False,True,1,True,0
29614,False,False,True,False,True,1,False,0
11144,False,False,False,False,False,3,True,0
17090,False,False,True,False,True,1,True,0
27096,False,False,True,False,True,1,True,1
26351,False,False,True,False,True,1,False,0
33521,False,False,True,False,True,7,True,0
27722,True,False,True,False,False,1,False,0
39121,False,False,True,True,True,2,True,0
22025,False,False,True,False,True,18,True,0
43403,False,False,True,False,True,1,False,1
27726,True,False,True,False,False,1,False,0
27541,False,False,False,False,True,2,False,1
39782,False,False,True,False,True,1,False,0
16260,False,False,True,False,True,1,True,0
25537,False,False,True,False,True,1,True,0
17964,False,False,True,False,False,4,False,0
44760,False,False,True,False,True,5,False,1
44696,False,False,True,False,True,1,False,0
15588,False,False,True,False,True,2,True,0
25515,False,False,False,False,True,1,True,0
10662,False,False,True,False,False,1,False,0
5001,False,False,True,True,False,1,True,0
37400,False,False,True,True,True,2,True,0
26654,False,False,True,False,True,1,False,0
5530,False,False,False,True,False,1,True,0
42877,False,False,True,False,True,6,False,1
14680,False,False,True,False,True,8,False,0
1604,False,False,True,True,False,5,True,0
19491,False,False,True,False,True,2,True,0
24906,False,False,False,False,True,1,True,0
22464,False,False,True,False,True,2,False,0
15707,False,False,True,False,True,2,True,0
2372,False,False,True,True,False,1,True,0
25180,False,False,True,False,True,2,True,0
2950,False,False,False,True,False,1,False,0
6044,False,False,True,True,False,11,True,0
492,False,False,True,True,False,1,True,0
10110,False,False,True,False,False,1,False,0
266,False,False,True,True,False,1,True,0
44296,False,False,True,False,True,3,False,1
10865,False,False,True,False,False,2,False,0
31857,False,False,True,False,True,2,True,0
16635,False,False,False,False,True,6,False,0
33565,False,False,False,False,True,2,True,0
2039,False,False,True,True,False,6,True,0
41331,False,False,True,False,False,1,False,0
10591,False,False,True,False,False,1,True,0
41939,False,False,True,False,True,1,False,1
6740,False,False,True,True,False,3,True,0
5265,False,False,True,True,False,1,True,0
35098,False,False,True,True,False,3,True,0
24356,False,False,True,False,True,1,False,0
14583,False,False,True,False,True,4,False,0
28022,False,False,True,False,True,2,True,0
34912,False,False,True,True,True,1,True,0
27503,False,False,True,False,False,3,True,0
4921,False,False,True,True,False,1,True,0
6821,False,False,True,True,False,1,True,1
12520,False,False,False,False,False,3,False,0
32005,False,False,True,False,True,3,True,1
4217,False,False,True,True,False,3,True,0
8085,False,False,False,False,False,1,True,0
44157,False,False,True,False,True,1,False,1
35922,False,False,True,True,True,4,True,0
9849,False,False,True,False,False,1,False,0
27590,False,False,True,False,True,2,True,0
2038,False,False,True,True,False,2,True,0
25234,False,False,True,False,True,2,True,0
32062,False,False,True,False,True,1,False,0
43579,False,False,True,False,True,1,False,1
38515,False,False,False,True,True,2,True,0
9363,False,False,True,False,False,1,False,0
29550,False,False,True,False,True,4,False,0
33461,False,False,True,False,True,1,False,0
39818,False,False,True,False,True,1,False,1
33453,False,False,True,False,True,1,False,0
23476,False,False,True,False,True,7,False,0
38791,False,False,True,True,True,2,True,0
22935,False,False,True,False,True,8,False,0
17591,False,False,True,False,False,2,False,0
39870,False,False,True,False,False,2,False,0
12435,False,False,True,False,False,2,False,0
5857,False,False,False,True,False,3,True,0
36914,False,False,True,True,True,3,True,0
30571,False,False,True,False,True,2,True,0
31748,False,False,True,False,True,1,True,0
26602,False,False,True,False,True,2,True,0
33544,False,False,False,False,True,2,True,0
28482,False,False,False,False,True,2,False,0
8766,False,False,True,False,False,1,True,0
18215,False,False,True,False,False,6,False,0
43335,False,True,True,False,True,2,True,1
23183,False,False,True,False,True,4,False,0
20650,False,False,True,False,True,3,False,0
1772,False,False,False,True,False,2,True,0
5915,False,False,True,True,False,1,True,0
2129,False,False,True,True,False,1,True,0
40963,False,False,True,False,True,2,False,0
26197,False,False,True,False,True,1,False,0
39773,False,False,True,False,True,2,False,1
35804,False,False,True,True,True,1,True,0
15802,False,False,False,False,True,4,False,0
21594,False,False,True,False,True,2,False,0
27884,False,False,True,False,True,1,False,0
2871,False,False,True,True,False,1,True,0
21692,False,False,False,False,True,18,False,0
33273,False,False,False,False,True,1,True,0
27167,False,False,True,False,True,1,True,0
9103,False,False,True,False,False,1,True,0
30722,False,False,True,False,True,2,False,0
15239,False,False,True,False,True,2,False,0
2103,False,False,True,True,False,2,False,0
34502,False,False,False,True,True,1,True,1
35983,False,False,True,True,True,1,True,0
12676,False,False,False,False,True,1,True,0
2961,False,False,True,True,False,1,True,0
1853,False,False,True,True,False,2,True,0
40720,False,False,True,False,True,1,False,0
7024,False,False,True,True,False,2,True,0
11420,False,False,True,False,False,1,True,0
43526,False,False,True,False,True,6,False,1
14312,False,False,False,False,True,3,True,0
1958,False,False,True,True,False,2,True,0
4293,False,False,True,True,False,2,True,0
27436,False,False,True,False,True,9,False,1
5895,False,False,True,True,False,2,True,0
7598,False,False,True,True,False,1,True,0
8062,False,False,True,False,False,2,True,0
26538,False,False,True,False,True,1,True,0
17674,False,False,True,False,False,4,False,0
39927,False,False,True,False,True,1,True,0
22621,False,False,True,False,True,1,False,0
23784,False,False,True,False,True,2,True,0
7,False,False,True,True,False,1,True,0
29845,False,False,False,False,True,6,False,0
43164,False,False,True,False,True,1,False,1
41966,False,False,True,False,True,1,False,0
43946,False,False,True,False,True,1,False,1
16378,False,False,True,False,True,2,False,0
5898,False,False,False,True,False,1,True,0
2046,False,False,True,True,False,4,False,0
21495,False,False,True,False,True,2,False,0
39882,False,False,True,False,True,2,True,0
17843,False,False,False,False,True,33,False,0
27028,False,False,True,False,True,1,True,1
38305,False,False,True,True,True,3,True,0
44451,False,False,True,False,True,1,False,0
10833,False,False,False,False,False,1,False,0
25210,False,False,False,False,True,2,False,0
3510,False,False,True,True,False,2,True,0
18251,False,False,True,False,True,8,False,0
1408,False,False,False,True,False,2,True,0
28652,False,False,True,False,False,4,False,0
32651,False,False,True,False,True,1,True,0
9231,False,False,True,False,False,11,True,0
13964,False,False,False,False,True,1,False,0
17067,False,False,True,False,True,2,True,0
