,checking_status_no_checking,purpose_new_car,employment_1,checking_status_0,credit_history_all_paid,credit_amount,checking_status_0_X_200,class
768,False,False,False,False,False,3617.0,True,0
946,False,False,True,True,True,3349.0,False,1
280,True,False,False,False,False,3368.0,False,0
281,True,False,False,False,False,1574.0,False,0
827,True,False,False,False,False,4165.0,False,1
518,False,True,False,True,False,1203.0,False,0
101,False,False,False,False,False,2323.0,True,0
0,False,False,False,True,False,1169.0,False,0
622,True,False,False,False,False,3914.0,False,1
821,False,False,False,False,False,3016.0,False,0
990,True,False,True,False,False,3565.0,False,0
638,True,False,True,False,False,1493.0,False,0
40,True,False,False,False,False,2333.0,False,0
55,True,True,False,False,True,783.0,False,0
183,True,False,False,False,False,3777.0,False,0
931,False,False,True,False,False,1670.0,True,1
982,False,True,False,False,False,2923.0,False,0
476,True,False,False,False,False,2569.0,False,0
599,True,False,False,False,False,3863.0,False,0
97,False,False,False,False,False,2622.0,True,0
923,False,True,False,False,False,2002.0,True,0
613,False,False,False,True,True,3632.0,False,0
813,False,False,False,True,False,3051.0,False,1
72,False,False,False,True,False,1164.0,False,0
837,True,False,True,False,False,601.0,False,0
988,False,False,False,True,False,6579.0,False,0
223,True,False,False,False,False,2978.0,False,0
917,False,True,False,True,False,14896.0,False,1
429,False,False,False,True,False,1190.0,False,1
911,False,False,True,False,False,4736.0,True,1
314,False,True,True,False,False,1494.0,False,0
643,True,False,False,False,False,1851.0,False,0
786,True,False,False,False,False,2675.0,False,0
294,True,False,False,False,False,7629.0,False,0
925,False,True,True,True,True,697.0,False,1
186,False,False,False,False,True,5129.0,True,1
328,False,False,False,False,False,4473.0,False,0
749,True,False,False,False,False,3029.0,False,0
451,True,False,False,False,False,518.0,False,0
620,False,False,False,False,False,3652.0,True,0
596,False,True,False,True,False,1442.0,False,1
127,False,False,False,False,False,639.0,True,1
702,False,False,False,False,False,1377.0,False,0
637,True,False,False,False,False,15653.0,False,0
32,False,True,False,False,False,5866.0,True,0
754,True,False,False,False,False,1555.0,False,1
816,True,False,False,False,False,1338.0,False,0
356,True,False,False,False,False,2331.0,False,0
704,False,False,True,False,False,2528.0,True,0
989,False,False,False,False,False,1743.0,True,0
278,True,False,True,False,False,4611.0,False,1
110,False,False,False,False,False,1449.0,True,0
543,False,False,False,False,False,2864.0,False,1
45,True,True,True,False,False,1393.0,False,0
39,False,False,False,False,False,458.0,True,0
660,False,False,False,False,False,1297.0,False,0
51,False,False,False,False,False,5965.0,True,0
964,False,False,True,False,False,454.0,True,0
224,True,False,False,False,False,4657.0,False,0
37,False,False,False,False,False,2100.0,False,1
193,True,False,False,False,False,2108.0,False,0
545,False,True,False,True,False,1333.0,False,1
712,True,False,False,False,False,2476.0,False,0
350,True,False,True,False,False,1236.0,False,0
84,False,False,False,True,False,2315.0,False,0
464,True,False,False,False,False,1950.0,False,0
364,False,False,False,True,False,2473.0,False,1
227,False,False,False,True,False,7865.0,False,1
360,False,False,False,False,False,1239.0,True,0
418,True,True,False,False,False,2782.0,False,0
589,False,False,False,True,False,2246.0,False,1
511,True,False,False,False,False,4686.0,False,0
881,True,False,False,False,False,9277.0,False,0
713,False,False,False,True,False,1138.0,False,0
135,True,False,False,False,False,1240.0,False,0
252,False,True,False,False,False,2150.0,True,1
584,True,True,False,False,False,2133.0,False,0
285,False,True,True,True,False,10722.0,False,0
483,True,False,False,False,False,960.0,False,0
371,True,False,False,False,False,6070.0,False,0
824,True,False,True,False,False,3780.0,False,0
449,False,False,False,False,False,1512.0,True,1
115,True,False,False,False,False,3578.0,False,0
869,False,False,False,True,False,652.0,False,0
253,True,False,False,False,False,4151.0,False,0
576,False,False,False,False,False,2930.0,True,0
439,False,False,True,False,True,609.0,False,1
324,True,True,False,False,False,1028.0,False,0
738,True,True,False,False,False,6761.0,False,0
437,True,True,False,False,False,1287.0,False,0
298,True,False,False,False,False,2515.0,False,0
481,False,True,True,False,False,1201.0,True,0
81,True,False,False,False,False,1213.0,False,0
8,True,False,False,False,False,3059.0,False,0
967,True,False,False,False,False,3568.0,False,0
670,True,False,False,False,False,4139.0,False,0
633,True,False,True,False,False,1980.0,False,1
354,True,False,False,False,False,727.0,False,0
86,False,False,True,False,False,1295.0,True,0
928,True,False,False,False,False,1867.0,False,0
627,False,True,False,False,True,1437.0,True,1
33,True,False,False,False,False,1264.0,False,0
177,False,False,False,True,False,338.0,False,0
700,True,False,False,False,False,1123.0,False,1
362,False,True,False,False,False,2247.0,False,0
855,True,True,True,False,False,1474.0,False,0
292,False,False,False,True,False,6419.0,False,0
652,False,True,False,True,False,2303.0,False,1
591,False,True,False,False,False,1965.0,True,0
558,False,False,False,True,True,3552.0,False,1
731,False,False,False,True,False,1987.0,False,1
405,False,False,True,False,False,2039.0,True,1
528,False,False,False,True,False,2302.0,False,1
119,False,True,False,False,False,2366.0,True,0
57,True,False,False,False,False,9566.0,False,0
247,True,True,False,False,False,1204.0,False,0
469,True,False,False,False,False,4679.0,False,0
246,True,False,False,False,False,717.0,False,0
459,True,False,True,False,False,4594.0,False,0
146,False,True,False,True,False,860.0,False,0
366,True,False,False,False,False,3850.0,False,0
380,False,False,False,True,False,2212.0,False,0
315,False,False,False,True,True,2746.0,False,1
609,True,False,False,False,False,1300.0,False,0
275,True,False,False,False,False,2697.0,False,0
403,True,True,False,False,False,802.0,False,0
211,True,False,False,False,False,3835.0,False,0
93,False,False,False,False,False,3617.0,False,0
720,False,False,True,False,False,1337.0,False,1
411,True,False,False,False,False,7253.0,False,0
767,True,False,True,False,False,2901.0,False,0
213,False,False,False,False,False,1908.0,False,1
343,False,False,False,False,False,4439.0,True,0
151,True,False,False,False,False,1924.0,False,0
659,False,False,False,False,False,6361.0,True,0
96,True,False,False,False,False,2012.0,False,0
617,False,True,False,True,False,3676.0,False,0
825,False,True,False,True,False,1602.0,False,0
41,False,False,False,False,False,1158.0,True,0
785,False,False,False,False,False,1941.0,True,0
604,False,False,True,False,False,1275.0,False,0
264,True,True,False,False,False,1231.0,False,0
612,False,False,True,True,False,3357.0,False,0
836,True,False,False,False,False,886.0,False,0
159,True,False,False,False,False,1898.0,False,0
191,False,False,False,False,False,3844.0,True,1
145,False,False,False,False,True,3566.0,True,0
103,False,False,False,False,False,1919.0,True,0
577,True,False,False,False,False,1927.0,False,0
290,True,False,False,False,False,1076.0,False,0
903,True,False,False,False,False,1386.0,False,0
610,False,False,False,True,False,741.0,False,1
445,True,False,False,False,False,1244.0,False,0
569,False,False,False,True,False,6758.0,False,1
269,True,False,False,False,False,999.0,False,0
835,False,True,False,True,False,1082.0,False,1
770,False,False,False,True,False,2812.0,False,0
4,False,True,False,True,False,4870.0,False,1
993,False,False,False,True,False,3959.0,False,0
29,False,False,False,True,False,6836.0,False,1
471,False,False,True,True,False,448.0,False,1
998,False,False,False,True,False,1845.0,False,1
977,False,False,False,False,False,2427.0,True,0
839,True,False,False,False,False,2611.0,False,0
741,False,False,False,False,True,1048.0,True,0
489,True,True,False,False,False,3518.0,False,0
639,False,False,False,True,False,4370.0,False,1
513,False,False,False,False,False,585.0,True,0
357,True,False,False,False,False,4463.0,False,1
255,False,False,False,False,False,7418.0,True,0
655,False,True,False,True,False,3973.0,False,0
666,False,False,False,False,True,3496.0,True,0
162,True,False,False,False,False,1262.0,False,0
237,False,False,False,False,False,2767.0,True,1
934,False,False,False,True,False,1498.0,False,0
235,False,False,False,True,False,1823.0,False,1
202,True,False,False,False,False,5117.0,False,0
302,False,True,False,False,False,1344.0,False,1
736,False,False,False,False,False,11560.0,True,1
547,True,False,False,False,False,1552.0,False,0
840,False,False,False,True,False,5179.0,False,1
460,False,False,False,True,False,3620.0,False,0
605,False,False,False,True,True,2828.0,False,0
256,True,False,False,False,False,2684.0,False,0
510,False,True,False,True,False,759.0,False,1
722,False,True,False,True,False,1228.0,False,1
421,False,False,False,False,False,2028.0,True,0
104,True,False,True,False,False,2445.0,False,0
102,True,False,False,False,False,932.0,False,0
901,True,True,True,False,False,3485.0,False,0
66,True,False,True,False,False,2171.0,False,0
384,True,False,False,False,False,4272.0,False,0
176,False,False,False,True,False,2577.0,False,0
498,False,False,False,False,False,1301.0,True,0
585,False,False,False,True,False,2039.0,False,1
458,False,False,True,True,False,343.0,False,0
976,False,False,False,False,False,753.0,True,0
385,True,False,False,False,False,2238.0,False,0
854,True,True,False,False,False,10875.0,False,0
517,True,False,True,False,False,7127.0,False,1
367,False,False,True,True,False,3650.0,False,0
933,True,False,False,False,False,522.0,False,0
462,False,False,True,False,False,3017.0,True,0
600,False,False,True,False,False,2329.0,True,0
26,True,False,False,False,False,426.0,False,0
488,True,True,False,False,False,1418.0,False,0
570,False,False,True,True,False,3234.0,False,1
723,False,False,False,False,False,790.0,True,0
143,False,False,False,True,False,2462.0,False,1
891,True,False,False,False,False,1829.0,False,0
536,False,True,False,True,False,1374.0,False,0
432,False,False,False,True,False,1872.0,False,0
117,False,False,True,True,False,2132.0,False,0
325,False,True,False,True,False,3398.0,False,0
410,False,False,False,False,False,1967.0,True,0
156,False,False,False,True,False,1288.0,False,0
790,False,False,False,False,False,1188.0,True,1
864,True,False,False,False,False,2210.0,False,1
484,True,True,False,False,False,1163.0,False,0
388,False,False,False,False,False,2326.0,True,0
798,True,True,False,False,False,717.0,False,0
218,False,False,False,True,False,3021.0,False,0
138,False,False,False,False,False,2728.0,True,0
586,False,True,False,True,False,2799.0,False,0
887,False,False,False,False,False,15672.0,True,1
173,False,False,False,False,False,1414.0,True,0
398,False,True,False,False,False,1223.0,True,1
938,False,False,False,False,False,6288.0,True,1
147,True,True,False,False,False,682.0,False,0
201,False,True,False,True,False,1168.0,False,0
188,False,False,False,True,False,674.0,False,1
304,True,True,False,False,False,10127.0,False,1
185,True,False,False,False,False,1360.0,False,0
820,True,True,False,False,False,1101.0,False,0
527,True,False,False,False,False,1503.0,False,0
745,False,False,True,True,False,1797.0,False,0
727,False,False,False,True,False,1882.0,False,1
958,False,True,False,True,False,4006.0,False,1
396,False,False,False,True,False,2578.0,False,0
894,True,False,False,False,False,1169.0,False,0
169,False,False,False,False,False,1935.0,True,1
937,False,False,True,False,False,2063.0,True,0
886,False,False,False,False,False,2825.0,True,0
597,False,False,False,False,False,4241.0,True,1
648,False,True,False,False,False,947.0,False,1
504,False,True,True,True,False,1207.0,False,1
92,True,False,False,False,False,797.0,False,1
10,False,True,True,False,False,1295.0,True,1
494,False,True,False,True,False,2122.0,False,0
499,False,True,False,False,False,1323.0,False,0
243,True,False,False,False,False,1185.0,False,0
399,True,False,False,False,False,1516.0,False,0
154,False,False,False,False,False,6967.0,True,0
447,False,False,False,False,False,2576.0,True,0
91,False,False,False,True,False,1409.0,False,0
212,False,False,False,True,False,5293.0,False,1
345,True,False,False,False,False,1459.0,False,0
716,True,False,False,False,False,3077.0,False,0
42,False,False,False,False,False,6204.0,True,0
711,False,False,False,True,True,1198.0,False,1
251,False,False,False,False,False,2251.0,False,0
69,True,False,False,False,False,2394.0,False,0
843,True,False,False,False,True,1559.0,False,0
426,True,False,False,False,False,2743.0,False,0
644,False,False,False,True,False,1880.0,False,0
674,True,False,True,False,False,2580.0,False,1
23,False,False,True,False,False,1804.0,True,0
765,False,False,False,False,False,1155.0,True,0
535,False,False,True,False,False,2319.0,False,1
621,True,True,False,False,False,1530.0,False,1
606,True,False,False,False,False,4526.0,False,0
375,False,False,False,True,True,7685.0,False,1
685,True,True,False,False,False,6527.0,False,0
124,False,False,True,False,False,1924.0,True,1
12,False,False,False,False,False,1567.0,True,0
327,True,True,False,False,False,1525.0,False,0
947,True,True,False,False,False,2859.0,False,0
763,True,True,False,False,False,12680.0,False,1
260,False,False,False,True,False,1657.0,False,0
908,True,False,True,False,False,3594.0,False,0
936,False,False,False,False,False,745.0,False,1
144,True,False,True,False,False,2288.0,False,0
847,True,True,True,False,False,1249.0,False,0
628,True,False,False,False,False,4042.0,False,0
693,False,True,True,True,False,4716.0,False,0
719,False,False,False,False,False,6148.0,True,0
287,False,False,False,False,False,7582.0,True,0
730,False,False,True,False,False,6403.0,True,0
994,True,True,False,False,False,2390.0,False,0
359,False,False,False,True,False,2406.0,False,1
555,False,False,True,False,False,1331.0,True,1
230,False,False,False,False,False,4210.0,False,1
415,True,False,False,False,False,5842.0,False,0
618,False,False,False,False,False,3441.0,True,1
272,False,True,False,False,True,12169.0,True,0
172,False,False,False,False,False,2064.0,True,1
35,False,False,True,False,False,4746.0,True,1
505,True,True,False,False,False,1309.0,False,1
482,False,False,False,True,False,3622.0,False,0
949,True,False,False,False,False,3621.0,False,1
100,True,True,False,False,False,1469.0,False,0
53,True,False,False,False,False,3378.0,False,0
550,True,False,False,False,False,996.0,False,0
893,False,False,False,False,False,5800.0,True,0
747,False,True,True,True,False,1274.0,False,1
215,False,False,False,False,False,932.0,True,0
307,False,False,True,True,False,727.0,False,1
546,True,True,False,False,False,2022.0,False,0
332,False,True,True,False,False,7408.0,True,1
114,False,False,False,True,False,1680.0,False,0
58,False,True,False,False,False,1961.0,False,0
568,False,False,False,False,False,3979.0,True,0
583,False,False,True,False,False,2384.0,True,1
